A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.36013243744373913,-0.4848236429492619,-0.1613808954980956,-0.4848236429492619,0.034669569282077387,-0.02827054455799205,370,441,405.5,439,463,435
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.28131691778725715,0.0723771084924405,0.12806237487363897,0.0723771084924405,0.02966090071970382,0.0022637690189204474,402,205,303.5,186,356,279
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.11990380671595384,0.36118159212348977,0.2750979638066312,0.11990380671595384,0.012327232304355461,0.023234635838736972,459,76,267.5,163,303,186
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,0.4955695274421911,-0.11303010091585824,0.09783307289230182,-0.11303010091585824,0.052038193060577685,-0.009971370652058442,311,291,301.0,278,351,304
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.20047118485784834,-0.5618393874453464,-0.24325925570632148,-0.5618393874453464,0.018945249562388255,-0.030454120577438237,438,451,444.5,450,491,460
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_noscreen,0.3039335599724444,-0.995908423873702,-0.5041428765157308,-0.995908423873702,0.03331936468824139,-0.05853467737907436,390,492,441.0,492,489,491
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_bd7,0.40095962234586313,-0.6559926423380613,-0.22045139426497568,-0.6559926423380613,0.033785524907936536,-0.033781672899837245,354,465,409.5,465,466,456
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_noscreen,0.24931260538163907,-0.7124938201498346,-0.32495956974457485,-0.7124938201498346,0.02624483376500657,-0.03617308842409428,414,473,443.5,473,490,480
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_bd7,0.39331321755548293,-0.6324315759413685,-0.1714124101818198,-0.6324315759413685,0.03954354650521101,-0.02790079874309248,356,460,408.0,459,465,440
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_noscreen,0.28730124468657603,-0.6570369679424909,-0.3150557140288896,-0.6570369679424909,0.03146435255207138,-0.05097465009781865,398,466,432.0,466,485,478
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_bd7,0.3035196524398109,-0.5369085507106829,-0.19714534916368648,-0.5369085507106829,0.03134905242953934,-0.030221133110954423,393,446,419.5,445,473,448
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_noscreen,0.6726830651007096,-0.6701231365405426,-0.1728621509523373,-0.6701231365405426,0.06951314298626365,-0.04320996656220244,223,467,345.0,467,411,442
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_bd7,0.5481398766375347,-0.4404883338797313,-0.044341472243953746,-0.4404883338797313,0.051575190714216165,-0.0219266056720695,284,427,355.5,423,419,384
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.5161637081825157,-0.10383190238173015,0.10924318612912938,-0.10383190238173015,0.06129902052927605,-0.011454711775263804,302,289,295.5,275,343,295
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.42688295287299727,-0.2530603263598584,0.0037230028971654812,-0.2530603263598584,0.046416440817260284,-0.017536316894056103,344,364,354.0,354,417,356
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_noscreen,1.0065951101637718,-0.2318358364970935,0.23181992311814925,-0.2318358364970935,0.10832867251189308,-0.016266693960083844,89,352,220.5,341,194,219
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.5185836671145304,-0.26340202743881175,0.05511364256913901,-0.26340202743881175,0.05324695202288558,-0.014948227230660582,300,368,334.0,358,400,328
