A,B,joined_sh,joined_ret
core-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.2314792825767073,0.017463945253086387
sp500-12m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.23091069890271446,0.016630230636433117
core-2m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.23069454377613172,0.01341358134328301
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.2235448593796229,0.015529155112857263
sp500-2m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.22341492184071177,0.012763909074933234
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.2219660171779571,0.011363047009632865
sp500-12m/cross_sector_slide3m_bd7,core-12m/same_sector_slide1m_noscreen,0.22048525326070828,0.012651581140078073
sp500-12m/cross_sector_slide3m_bd7,core-2m/cross_sector_slide3m_noscreen,0.22009236714634803,0.01942616699856612
sp500-12m/same_sector_slide3m_bd7,core-12m/same_sector_slide1m_noscreen,0.21798658644693,0.009747477785210724
core-12m/cross_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,0.21670668866917636,0.013282111493947956
sp500-12m/same_sector_slide1m_noscreen,core-2m/same_sector_slide3m_noscreen,0.2125696881949366,0.01367350507247358
sp500-2m/cross_sector_slide3m_noscreen,core-12m/same_sector_slide3m_noscreen,0.21250218431476534,0.016222057099227128
sp500-12m/same_sector_slide1m_noscreen,core-12m/same_sector_slide3m_noscreen,0.20981985014920262,0.010811058341928081
core-12m/cross_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.20960519558775964,0.01076359138336982
